./code/LebwohlLasher_numba_parallel.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.328, Time: 2.061183 s
         14268641 function calls (13308636 primitive calls) in 11.318 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1347(_fixupChildren)
        3    0.000    0.000    0.000    0.000 __init__.py:1348(safe_extra)
        1    0.000    0.000    0.000    0.000 __init__.py:1377(Logger)
       36    0.000    0.000    0.000    0.000 __init__.py:1392(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1394(NullProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1401(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1405(get_resource_filename)
       14    0.000    0.000    0.000    0.000 __init__.py:141(_check_size)
     9038    0.003    0.000    0.005    0.000 __init__.py:1412(debug)
      904    0.000    0.000    0.013    0.000 __init__.py:1417(_get_metadata_path)
      710    0.001    0.000    0.019    0.000 __init__.py:1420(has_metadata)
      194    0.000    0.000    0.011    0.000 __init__.py:1427(get_metadata)
        6    0.000    0.000    0.000    0.000 __init__.py:1436(warning)
        1    0.000    0.000    0.000    0.000 __init__.py:144(_try_enable_svml)
      194    0.000    0.000    0.014    0.000 __init__.py:1440(get_metadata_lines)
      905    0.002    0.000    0.013    0.000 __init__.py:1496(_fn)
        1    0.000    0.000    0.007    0.007 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:15(_init)
      905    0.002    0.000    0.009    0.000 __init__.py:1502(_validate_resource_path)
        6    0.000    0.000    0.000    0.000 __init__.py:1502(findCaller)
       57    0.000    0.000    0.000    0.000 __init__.py:152(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:153(py_object)
        6    0.000    0.000    0.000    0.000 __init__.py:1538(makeRecord)
        6    0.000    0.000    0.000    0.000 __init__.py:1553(_log)
        6    0.000    0.000    0.000    0.000 __init__.py:156(<lambda>)
        6    0.000    0.000    0.000    0.000 __init__.py:1579(handle)
       13    0.000    0.000    0.000    0.000 __init__.py:1588(_parents)
        1    0.000    0.000    0.000    0.000 __init__.py:1599(EggProvider)
       12    0.000    0.000    0.000    0.000 __init__.py:16(search_path)
        1    0.000    0.000    0.000    0.000 __init__.py:1602(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1606(_setup_prefix)
        1    0.000    0.000    0.000    0.000 __init__.py:161(_get_version)
        1    0.000    0.000    0.000    0.000 __init__.py:1619(DefaultProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:162(c_short)
      710    0.000    0.000    0.008    0.000 __init__.py:1622(_has)
        6    0.000    0.000    0.000    0.000 __init__.py:1633(callHandlers)
      194    0.001    0.000    0.008    0.000 __init__.py:1634(_get)
        1    0.000    0.000    0.000    0.000 __init__.py:1638(_register)
        1    0.000    0.000    0.000    0.000 __init__.py:1649(EmptyProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:166(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:1662(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:1663(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1669(ZipManifests)
     9044    0.002    0.000    0.002    0.000 __init__.py:1677(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:1696(MemoizedZipManifests)
        1    0.000    0.000    0.005    0.005 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:170(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1716(ZipProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1731(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1737(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:174(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:174(get_supported_platform)
